Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs
'21881','SwordArtOnlineII',6.7,A-1Pictures,Lightnovel, 'n/a',"['Action', 'Adventure', 'Fantasy', 'Romance', 'LovePolygon', 'VideoGame']","['MatsuokaYoshitsugu', 'YoshitsuguTomatsu', 'TomatsuHaruka', 'HarukaSawashiro', 'SawashiroMiyuki', 'MiyukiYuuki', 'YuukiAoi', 'AoiItou', 'ItouKanae', 'KanaeTaketatsu', 'TaketatsuAyana', 'AyanaHirata', 'HirataHiroaki', 'HiroakiHidaka', 'HidakaRina', 'RinaTakagaki', 'TakagakiAyahi', 'AyahiYasumoto', 'YasumotoHiroki']"
'23283','ZankyounoTerror',8.1,MAPPA,Original, 'n/a',"['Mystery', 'Suspense', 'Psychological']","['SaitouSouma', 'SoumaIshikawa', 'IshikawaKaito', 'KaitoSakuya', 'SakuyaShunsuke', 'ShunsukeTanezaki', 'TanezakiAtsumi', 'AtsumiHan', 'HanMegumi', 'MegumiKanuka', 'KanukaMitsuaki', 'MitsuakiSatake', 'SatakeUki', 'UkiAigasa', 'AigasaKeisuke', 'KeisukeNagao', 'NagaoAki', 'AkiTezuka', 'TezukaHideaki']"
'23289','GekkanShoujoNozaki-kun',7.85,DogaKobo,4-komamanga, 'n/a',"['Comedy', 'Romance', 'OtakuCulture', 'School']","['OkamotoNobuhiko', 'NobuhikoOzawa', 'OzawaAri', 'AriSawashiro', 'SawashiroMiyuki', 'MiyukiNakamura', 'NakamuraYuuichi', 'YuuichiNakahara', 'NakaharaMai', 'MaiOno', 'OnoYuuki', 'YuukiKimura', 'KimuraRyouhei', 'RyouheiHino', 'HinoSatoshi', 'SatoshiKawasumi', 'KawasumiAyako', 'AyakoMiyano', 'MiyanoMamoru']"
'21995','AoHaruRide',7.64,ProductionI.G,Manga, 'Shoujo',"['Drama', 'Romance', 'SliceofLife', 'School', 'Shoujo']","['ShiraishiRyouko', 'RyoukoUchida', 'UchidaMaaya', 'MaayaMatsuoka', 'MatsuokaYoshitsugu', 'YoshitsuguKomatsu', 'KomatsuMikako', 'MikakoHirakawa', 'HirakawaDaisuke', 'DaisukeKENN', 'KENNKayano', 'KayanoAi', 'AiAkabane', 'AkabaneKenji', 'KenjiTanaka', 'TanakaHideyuki', 'HideyukiMakino', 'MakinoYui']"
'23273','ShigatsuwaKiminoUso',8.66,A-1Pictures,Manga, 'Shounen',"['Drama', 'Romance', 'Music', 'School', 'Shounen']","['TanedaRisa', 'RisaHanae', 'HanaeNatsuki', 'NatsukiSakura', 'SakuraAyane', 'AyaneOosaka', 'OosakaRyouta', 'RyoutaHayami', 'HayamiSaori', 'SaoriMinase', 'MinaseInori', 'InoriSonozaki', 'SonozakiMie', 'MieKayano', 'KayanoAi', 'AiKaji', 'KajiYuuki', 'YuukiIshigami', 'IshigamiShizuka']"
'23755','NanatsunoTaizai',7.69,A-1Pictures,Manga, 'Shounen',"['Action', 'Adventure', 'Fantasy', 'Shounen']","['SuzukiTatsuhisa', 'TatsuhisaKaji', 'KajiYuuki', 'YuukiFukuyama', 'FukuyamaJun', 'JunKuno', 'KunoMisaki', 'MisakiTakagi', 'TakagiYuuhei', 'YuuheiYuuki', 'YuukiAoi', 'AoiAmamiya', 'AmamiyaSora', 'SoraSakamoto', 'SakamotoMaaya', 'MaayaKoiwai', 'KoiwaiKotori', 'KotoriMiyano', 'MiyanoMamoru']"
'22535','Kiseijuu:SeinoKakuritsu',8.35,Madhouse,Manga, 'Seinen',"['Action', 'Horror', 'Sci-Fi', 'Gore', 'Psychological', 'Seinen']","['ShimazakiNobunaga', 'NobunagaHirano', 'HiranoAya', 'AyaTanaka', 'TanakaAtsuko', 'AtsukoSawashiro', 'SawashiroMiyuki', 'MiyukiHanazawa', 'HanazawaKana', 'KanaMurase', 'MuraseAyumu', 'AyumuInoue', 'InoueKazuhiko', 'KazuhikoYoshino', 'YoshinoHiroyuki', 'HiroyukiSuzuki', 'SuzukiTakuma', 'TakumaMizushima', 'MizushimaYuu']"
'22297','Fate/staynight:UnlimitedBladeWorks',8.19,ufotable,Visualnovel, 'n/a',"['Action', 'Fantasy', 'Supernatural']","['KawasumiAyako', 'AyakoUeda', 'UedaKana', 'KanaSuwabe', 'SuwabeJunichi', 'JunichiSugiyama', 'SugiyamaNoriaki', 'NoriakiKoyama', 'KoyamaRikiya', 'RikiyaSeki', 'SekiTomokazu', 'TomokazuShitaya', 'ShitayaNoriko', 'NorikoKadowaki', 'KadowakiMai', 'MaiNakata', 'NakataJouji', 'JoujiCanna', 'CannaNobutoshi']"
'25157','TrinitySeven',7.08,SevenArcsPictures,Manga, 'Shounen',"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'School', 'Shounen']","['MatsuokaYoshitsugu', 'YoshitsuguSakura', 'SakuraAyane', 'AyaneHara', 'HaraYumi', 'YumiTouyama', 'TouyamaNao', 'NaoMurakawa', 'MurakawaRie', 'RieUchida', 'UchidaAya', 'AyaHikasa', 'HikasaYouko', 'YoukoYuzuki', 'YuzukiRyouka', 'RyoukaKugimiya', 'KugimiyaRie', 'RieMiki', 'MikiShinichiro']"
'25013','AkatsukinoYona',8.03,Pierrot,Manga, 'Shoujo',"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']","['TakagakiAyahi', 'AyahiSaitou', 'SaitouChiwa', 'ChiwaKobayashi', 'KobayashiSanae', 'SanaeSuwabe', 'SuwabeJunichi', 'JunichiMorita', 'MoritaMasakazu', 'MasakazuMinagawa', 'MinagawaJunko', 'JunkoShimono', 'ShimonoHiro', 'HiroYamamoto', 'YamamotoNozomi', 'NozomiYamamoto', 'YamamotoNozomi', 'NozomiMiyamoto', 'MiyamotoMitsuru']"
'22147','AmagiBrilliantPark',7.47,KyotoAnimation,Lightnovel, 'n/a',"['Comedy', 'Drama', 'Fantasy', 'Workplace']","['KakumaAi', 'AiUchiyama', 'UchiyamaKouki', 'KoukiFujii', 'FujiiYukiyo', 'YukiyoNonaka', 'NonakaAi', 'AiKurosawa', 'KurosawaTomoyo', 'TomoyoKawasumi', 'KawasumiAyako', 'AyakoTsuda', 'TsudaMinami', 'MinamiAisaka', 'AisakaYuuka', 'YuukaShiraishi', 'ShiraishiRyouko', 'RyoukoMikami', 'MikamiShiori']"
'17729','GrisaianoKajitsu',7.5,8bit,Visualnovel, 'n/a',"['Drama', 'Romance', 'Harem', 'Psychological', 'School']","['SakuraiTakahiro', 'TakahiroMizuhashi', 'MizuhashiKaori', 'KaoriTanaka', 'TanakaRyouko', 'RyoukoTaguchi', 'TaguchiHiroko', 'HirokoShimizu', 'ShimizuAi', 'AiTamiyasu', 'TamiyasuTomoe', 'TomoeTomonaga', 'TomonagaAkane', 'AkaneNarumi', 'NarumiErika', 'ErikaYanase', 'YanaseNatsumi']"
