Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs
'37178','KirattoPri☆chan',7.15,TatsunokoProductionDongwooA&E,Game, 'Shoujo',"['SliceofLife', 'Idols', '(Female)', 'Music', 'Shoujo']","['HayashiKoko', 'KokoSerizawa', 'SerizawaYuu', 'YuuKubota', 'KubotaMiyu', 'MiyuMorishima', 'MorishimaYuuka', 'YuukaAtsugi', 'AtsugiNanami', 'NanamiWakai', 'WakaiYuuki', 'YuukiMimori', 'MimoriSuzuko', 'SuzukoShibuya', 'ShibuyaAzuki', 'AzukiYamakita', 'YamakitaSaki', 'SakiKugimiya', 'KugimiyaRie']"
'37448','Ladyspo',3.15,BrioAnimation,Original, 'n/a',"['Action', 'Comedy', 'Sci-Fi']","['KinoshitaSuzuna', 'SuzunaUehara', 'UeharaAkari', 'AkariShimada', 'ShimadaSaki']"
'36418','KonekonoChi:PonponraDairyokou',6.40,MarzaAnimationPlanet,Original, 'n/a',"['SliceofLife', 'Pets']", ''
'37324','YoukaiWatch:ShadowSide',6.55,OLM,Game, 'Kids',"['Comedy', 'Supernatural', 'Mythology', 'Kids']","['YuukiAoi', 'AoiHasegawa', 'HasegawaYoshiaki', 'YoshiakiTomatsu', 'TomatsuHaruka', 'HarukaTamura', 'TamuraMutsumi', 'MutsumiKuroda', 'KurodaTakaya', 'TakayaSeki', 'SekiTomokazu', 'TomokazuSatou', 'SatouKensuke']"
'37611','FutureCardBuddyfightBattsu:All-StarFight',6.72,XebecOLM,Cardgame, 'n/a',['StrategyGame'],['SaitouChiwa']
'38549','TVYarouNanaana',6.29,StudioCrocodile,Original, 'n/a',"['Adventure', 'Comedy', 'Workplace']", ''
'37096','Puzzle&Dragon',-1,Pierrot,Game, 'Kids',"['StrategyGame', 'Kids']","['KakiharaTetsuya', 'TetsuyaTomari', 'TomariAsuna']"
'37484','DuelMasters!',5.92,Ascension,Original, 'Kids',"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","['KobayashiYumiko', 'YumikoSatou', 'SatouSetsuji', 'SetsujiToyosaki', 'ToyosakiAki', 'AkiToyonaga', 'ToyonagaToshiyuki', 'ToshiyukiShiraishi', 'ShiraishiMinoru']"
'35656','OshiriTantei',-1,ToeiAnimation,Picturebook, 'Kids',"['Comedy', 'Fantasy', 'Mystery', 'Kids']", ''
'37368','ShounenAshibe:Go!Go!Goma-chan3',5.72,BridgeHusioStudio,4-komamanga, 'Seinen',"['Comedy', 'SliceofLife', 'Seinen']", ''
'37467','UsaginoMatthew',-1,KachidokiStudio,Manga, 'n/a',['SliceofLife'], ''
'37325','KuronekoMonroe',-1,[],Manga, 'n/a',"['Comedy', 'Pets']", ''
'37369','NekoNekoNihonshi3rdSeason',6.28,JokerFilms,Webmanga, 'Kids',"['Anthropomorphic', 'Historical', 'Parody', 'Samurai', 'Kids']",['KobayashiYuu']
'37559','OretachaYoukaiNingenG',-1,DLE,Original, 'n/a',"['Horror', 'Mythology', 'Parody']", ''
'37359','KekkeroKe',-1,ProductionI.G,Original, 'n/a',['Comedy'], ''
'37653','Caribadix2ndSeason',-1,[],Original, 'n/a',"['Comedy', 'Music']", ''
'38138','ZhuZhuXia:JingQiuXiaoYingxiong',-1,[],Original, 'Kids',"['Sci-Fi', 'Sports', 'SuperPower', 'Kids']", ''
'37428','CharatoOtamajakushiShima',-1,33Collective,Original, 'Kids',"['Adventure', 'Fantasy', 'Kids']", ''
'37630','Washimo6thSeason',-1,[],Picturebook, 'Kids',"['Comedy', 'Sci-Fi', 'SliceofLife', 'School', 'Kids']", ''
'47612','ChaoZhiNengZuQiu2:ShijieDasaiPian',-1,[],Original, 'n/a',"['Sports', 'TeamSports']", ''
'44424','ShaonianShiye:DuananChuanqi',-1,[],Original, 'Kids',"['Historical', 'Kids']", ''
'44423','ShaonianShiye:ShenmiDadao',-1,[],Original, 'Kids',"['Historical', 'Kids']", ''
