Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs,soup
'7769','Ookami-santoShichininnoNakama-tachi',7.18,J.C.Staff,Lightnovel, 'n/a',"['Comedy', 'Romance', 'Parody']","['ItouShizuka', 'ShizukaIrino', 'IrinoMiyu', 'MiyuItou', 'ItouKanae', 'KanaeToyosaki', 'ToyosakiAki', 'AkiKoyama', 'KoyamaKimiko', 'KimikoKaji', 'KajiYuuki', 'YuukiArai', 'AraiSatomi', 'SatomiAsanuma', 'AsanumaShintarou', 'ShintarouNojima', 'NojimaHirofumi', 'HirofumiHorie', 'HorieYui']",Ookami-santoShichininnoNakama-tachi J.C.Staff Lightnovel Comedy Romance Parody ItouShizuka ShizukaIrino IrinoMiyu MiyuItou ItouKanae KanaeToyosaki ToyosakiAki AkiKoyama KoyamaKimiko KimikoKaji KajiYuuki YuukiArai AraiSatomi SatomiAsanuma AsanumaShintarou ShintarouNojima NojimaHirofumi HirofumiHorie HorieYui
'38749','BladeRunner:BlackLotus',6.21,SolaDigitalArts,Other, 'n/a',"['Sci-Fi', 'Suspense']","['ShidaArisa', 'ArisaFuji', 'FujiShinshuu']",BladeRunner:BlackLotus SolaDigitalArts Other Sci-Fi Suspense ShidaArisa ArisaFuji FujiShinshuu
'2494','Goshuushou-samaNinomiya-kun',6.67,AICSpirits,Lightnovel, 'n/a',"['Comedy', 'Fantasy', 'Ecchi', 'Harem']","['KadowakiMai', 'MaiSawashiro', 'SawashiroMiyuki', 'MiyukiMajima', 'MajimaJunji', 'JunjiNeya', 'NeyaMichiko', 'MichikoChiba', 'ChibaSaeko', 'SaekoAkesaka', 'AkesakaSatomi', 'SatomiNarita', 'NaritaKen', 'KenMiyata', 'MiyataKouki', 'KoukiKondou', 'KondouTakashi', 'TakashiTsunakake', 'TsunakakeHiromi']",Goshuushou-samaNinomiya-kun AICSpirits Lightnovel Comedy Fantasy Ecchi Harem KadowakiMai MaiSawashiro SawashiroMiyuki MiyukiMajima MajimaJunji JunjiNeya NeyaMichiko MichikoChiba ChibaSaeko SaekoAkesaka AkesakaSatomi SatomiNarita NaritaKen KenMiyata MiyataKouki KoukiKondou KondouTakashi TakashiTsunakake TsunakakeHiromi
'17821','StellaJogakuinKoutou-kaC³-bu',6.53,Gainax,Manga, 'n/a',"['Sports', 'Military', 'School']","['NishizakiRima', 'RimaMakino', 'MakinoYui', 'YuiSawashiro', 'SawashiroMiyuki', 'MiyukiKayano', 'KayanoAi', 'AiYonezawa', 'YonezawaMadoka', 'MadokaSaitou', 'SaitouChiwa', 'ChiwaSeto', 'SetoAsami', 'AsamiHasumi', 'HasumiErina', 'ErinaHatano', 'HatanoWataru']",StellaJogakuinKoutou-kaC³-bu Gainax Manga Sports Military School NishizakiRima RimaMakino MakinoYui YuiSawashiro SawashiroMiyuki MiyukiKayano KayanoAi AiYonezawa YonezawaMadoka MadokaSaitou SaitouChiwa ChiwaSeto SetoAsami AsamiHasumi HasumiErina ErinaHatano HatanoWataru
'6625','Nono-chan',6.14,ToeiAnimation,4-komamanga, 'n/a',"['Comedy', 'SliceofLife']","['TanakaHideyuki', 'HideyukiTakato', 'TakatoYasuhiro', 'YasuhiroYamamoto', 'YamamotoKeiko', 'KeikoOotani', 'OotaniIkue', 'IkueSuzuki', 'SuzukiReiko', 'ReikoTakagi', 'TakagiWataru', 'WataruYamazaki', 'YamazakiWakana', 'WakanaSuzuki', 'SuzukiTakuma', 'TakumaNoda', 'NodaJunko', 'JunkoKomatsu', 'KomatsuYuka']",Nono-chan ToeiAnimation 4-komamanga Comedy SliceofLife TanakaHideyuki HideyukiTakato TakatoYasuhiro YasuhiroYamamoto YamamotoKeiko KeikoOotani OotaniIkue IkueSuzuki SuzukiReiko ReikoTakagi TakagiWataru WataruYamazaki YamazakiWakana WakanaSuzuki SuzukiTakuma TakumaNoda NodaJunko JunkoKomatsu KomatsuYuka
'35963','PJBerrinoMogumoguMunyamunyaSeason2',-1.0,DogaKobo,Game, 'n/a',['Comedy'],['OosukaJun'],PJBerrinoMogumoguMunyamunyaSeason2 DogaKobo Game Comedy OosukaJun
'323','MousouDairinin',7.67,Madhouse,Original, 'n/a',"['AvantGarde', 'Drama', 'Mystery', 'Supernatural', 'Suspense', 'Detective', 'Psychological']","['SakaguchiDaisuke', 'DaisukeNoto', 'NotoMamiko', 'MamikoSeki', 'SekiToshihiko', 'ToshihikoIizuka', 'IizukaShouzou', 'ShouzouMomoi', 'MomoiHaruko', 'HarukoMitsuishi', 'MitsuishiKotono', 'KotonoSaikachi', 'SaikachiRyuuji', 'RyuujiKomiya', 'KomiyaKazue', 'KazueTominaga', 'TominagaMiina', 'MiinaYamaguchi', 'YamaguchiMayumi']",MousouDairinin Madhouse Original AvantGarde Drama Mystery Supernatural Suspense Detective Psychological SakaguchiDaisuke DaisukeNoto NotoMamiko MamikoSeki SekiToshihiko ToshihikoIizuka IizukaShouzou ShouzouMomoi MomoiHaruko HarukoMitsuishi MitsuishiKotono KotonoSaikachi SaikachiRyuuji RyuujiKomiya KomiyaKazue KazueTominaga TominagaMiina MiinaYamaguchi YamaguchiMayumi
'21855','Hanamonogatari',7.94,Shaft,Lightnovel, 'n/a',"['Comedy', 'Mystery', 'Supernatural']","['SawashiroMiyuki', 'MiyukiAsumi', 'AsumiKana', 'KanaKamiya', 'KamiyaHiroshi', 'HiroshiMiki', 'MikiShinichiro', 'ShinichiroMizuhashi', 'MizuhashiKaori', 'KaoriKitamura', 'KitamuraEri', 'EriNeya', 'NeyaMichiko', 'MichikoHikasa', 'HikasaYouko']",Hanamonogatari Shaft Lightnovel Comedy Mystery Supernatural SawashiroMiyuki MiyukiAsumi AsumiKana KanaKamiya KamiyaHiroshi HiroshiMiki MikiShinichiro ShinichiroMizuhashi MizuhashiKaori KaoriKitamura KitamuraEri EriNeya NeyaMichiko MichikoHikasa HikasaYouko
'634','KoiKaze',7.06,A.C.G.T.,Manga, 'Seinen',"['Drama', 'Romance', 'SliceofLife', 'Psychological', 'Seinen']","['NakamuraYuki', 'YukiMiyake', 'MiyakeKenta', 'KentaOkamura', 'OkamuraAkemi', 'AkemiAkesaka', 'AkesakaSatomi', 'SatomiKatou', 'KatouYuuko', 'YuukoYuzuki', 'YuzukiRyouka', 'RyoukaShimizu', 'ShimizuRisa', 'RisaOkano', 'OkanoKousuke', 'KousukeItou', 'ItouShizuka', 'ShizukaKobayashi', 'KobayashiRyouya']",KoiKaze A.C.G.T. Manga Drama Romance SliceofLife Psychological Seinen NakamuraYuki YukiMiyake MiyakeKenta KentaOkamura OkamuraAkemi AkemiAkesaka AkesakaSatomi SatomiKatou KatouYuuko YuukoYuzuki YuzukiRyouka RyoukaShimizu ShimizuRisa RisaOkano OkanoKousuke KousukeItou ItouShizuka ShizukaKobayashi KobayashiRyouya
'4618','RideBack',7.27,Madhouse,Manga, 'n/a',"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'School']","['MizukiNana', 'NanaPark', 'ParkRomi', 'RomiKoyama', 'KoyamaRikiya', 'RikiyaMorikawa', 'MorikawaToshiyuki', 'ToshiyukiMatsumoto', 'MatsumotoMegumi', 'MegumiHayamizu', 'HayamizuRisa', 'RisaKobayashi', 'KobayashiSanae', 'SanaeToyoguchi', 'ToyoguchiMegumi', 'MegumiSonozaki', 'SonozakiMie', 'MieUeda', 'UedaYuuji']",RideBack Madhouse Manga Action Drama Sci-Fi Mecha School MizukiNana NanaPark ParkRomi RomiKoyama KoyamaRikiya RikiyaMorikawa MorikawaToshiyuki ToshiyukiMatsumoto MatsumotoMegumi MegumiHayamizu HayamizuRisa RisaKobayashi KobayashiSanae SanaeToyoguchi ToyoguchiMegumi MegumiSonozaki SonozakiMie MieUeda UedaYuuji
